"","id","submitted","updated","title","abstract","authors","affiliations","link_abstract","link_pdf","link_doi","comment","journal_ref","doi","primary_category","categories"
"1","astro-ph/9311050v1","1993-11-18 17:00:04","1993-11-18 17:00:04","Gamma-Ray Bursts are Time-Asymmetric","  A simple test for time-asymmetry is devised and carried out on the brightest
gamma-ray bursts detected by the Burst and Transient Source Experiment (BATSE)
on board the {\it Compton} Gamma Ray Observatory. We show evidence that
individual bursts are time-asymmetric on all time scales tested, from a time
scale shorter than that of pulses which compose GRBs to a time scale similar to
a greater envelope that contains these pulses. We also find bursts which
manifest significant asymmetry only on time scales comparable to the duration
of burst, and bursts for which no clear asymmetry on any time scale is present.
The sense of the asymmetry is that bursts and/or component structures rise in a
shorter time than they decay. We also find that our whole sample of bursts
taken together is time- asymmetric, in that there are significantly more bursts
and pulses where the rise is more rapid than the decay, on all time scales
tested and for all energy bands tested. When our whole GRB sample is binned at
64-ms and integrated over all BATSE energies, the statistical significance is
at the 6 $\sigma$ level. Models that predict time-symmetry are therefore
excluded.
","R. J. Nemiroff|J. P. Norris|C. Kouveliotou|G. J. Fishman|C. A. Meegan|W. S. Paciesas","USRA/GMU/NASA|NASA/GSFC|USRA/NASA|NASA/MSFC|NASA/MSFC|UAH/NASA","http://arxiv.org/abs/astro-ph/9311050v1","http://arxiv.org/pdf/astro-ph/9311050v1","http://dx.doi.org/10.1086/173819","10 pages, Plain TeX (v 3.0), FAXed figures available upon request, in
  press: ApJ","Astrophys.J. 423 (1994) 432","10.1086/173819","astro-ph","astro-ph"
"2","astro-ph/9404056v1","1994-04-22 17:56:42","1994-04-22 17:56:42","Delayed Gev Emission from Cosmological Gamma-Ray Bursts : Impact of a
  Relativistic Wind on External Matter","  Sudden collapse of a compact object, or coalescence of a compact binary, can
generate an unsteady relativistic wind that lasts for a few seconds. The wind
is likely to carry a high magnetic field; and its Lorentz factor depends on the
extent to which it is 'loaded' with baryons. If the Lorentz factor is $\sim
100$, internal dissipation and shocks in this wind produce a non-thermal
gamma-ray burst, detectable in the range $0.1\MeV \siml E_\gamma \siml
0.1-1\GeV$ out to cosmological distances. The cooled wind ejecta would
subsequently be decelerated by the external medium. The resultant blast wave
and reverse shock can then give rise to a second burst component, mainly
detectable in the GeV range, with a time delay relative to the MeV burst
ranging from minutes to hours.
","P. Meszaros|M. J. Rees","","http://arxiv.org/abs/astro-ph/9404056v1","http://arxiv.org/pdf/astro-ph/9404056v1","http://dx.doi.org/10.1093/mnras/269.1.L41","5 pages, plain TeX","Mon.Not.Roy.Astron.Soc.269:L41,1994","10.1093/mnras/269.1.L41","astro-ph","astro-ph"
"3","astro-ph/9410010v1","1994-10-04 01:39:50","1994-10-04 01:39:50","Yet Another Paper on Sn1987a: Large Angle Oscillations, and the Electron
  Neutrino Mass","  We supplement \ML methods with a \MC simulation to re-investigate the SN1987A
neutrino burst detection by the IMB and Kamiokande experiments. The detector
simulations include background in the the latter and ``dead-time'' in the
former. We consider simple neutrinosphere cooling models, explored previously
in the literature, to explore the case for or against neutrino vacuum mixing
and massive neutrinos. In the former case, involving kinematically irrelevant
masses, we find that the full range of vacuum mixing angles, $0 \le \svac \le
1$, is permitted, and the \ML mixing angle is $\svac = .45.$ In the latter case
we find that the inclusion of ``dead-time'' reduces previous $\mnue$ upper
bounds by 10\%, and supplementing the \ML analysis with a \MC goodness-of-fit
test results in a further 15\% reduction in the $\mnue$ upper limit. Our 95\%
C.L. upper limit for $\mnue$ is 19.6eV, while the best fit value is $\sim$ 0eV.
","Peter J. Kernan|Lawrence M. Krauss","","http://arxiv.org/abs/astro-ph/9410010v1","http://arxiv.org/pdf/astro-ph/9410010v1","http://dx.doi.org/10.1016/0550-3213(94)00595-6","latex 20 pages plus 8 figures (uuencoded in separate file) (can also
  be obtained from WWW site http://theory2.cwru.edu/papers/papers.html)
  CWRU-P7-94","Nucl.Phys.B437:243-256,1995","10.1016/0550-3213(94)00595-6","astro-ph","astro-ph|hep-ph"
"4","astro-ph/9503070v1","1995-03-16 19:54:08","1995-03-16 19:54:08","Empirical Constraints on Source Properties and Host Galaxies of
  Cosmological Gamma-Ray Bursts","  We discuss several constraints on the properties of gamma-ray bursts (GRB) at
cosmological distances. First we use the requirement that burst sources must be
optically thin to pair production by photon-photon collisions in order to
produce the observed nonthermal spectra. We derive probability distributions
for the minimum Lorentz expansion factor, the radiation energy, the maximum
baryonic mass, and the maximum surrounding gas density in the events, based on
254 events from the second BATSE catalog. Secondly, the time variabilities of
the bursts in the BATSE catalog are used to place an upper bound on the
curvature radius of the emitting surface in the events. This is based on the
requirement that the emitting region seen by the observer must be sufficiently
small to produce the observed variability without violating causality. Finally,
we discuss the association of cosmological GRB with galaxies. We consider eight
bright and well-localized bursts detected by the Pioneer Venus Orbiter, whose
positional error boxes contain no bright galaxies. Using the local luminosity
function of galaxies, we calculate the probability for not seeing the GRB host
galaxy. This probability tends to increase as the width of the GRB luminosity
function increases. However, the allowed width of the GRB luminosity function
is restricted by the number-count statistics of the bursts.
","Eric Woods|Abraham Loeb","Harvard Univ.|Harvard Univ.","http://arxiv.org/abs/astro-ph/9503070v1","http://arxiv.org/pdf/astro-ph/9503070v1","http://dx.doi.org/10.1086/176421","28 pages, uuencoded file, 8 figures included, CfA preprint","Astrophys.J. 453 (1995) 583","10.1086/176421","astro-ph","astro-ph"
"5","astro-ph/9505096v1","1995-05-22 05:17:22","1995-05-22 05:17:22","HOW FAR AWAY ARE GAMMA-RAY BURSTERS?","  The positions of over 1000 gamma-ray bursts detected with the BATSE
experiment on board of the Compton Gamma Ray Observatory are uniformly and
randomly distributed in the sky, with no significant concentration to the
galactic plane or to the galactic center. The strong gamma-ray bursts have an
intensity distribution consistent with a number density independent of distance
in Euclidean space. Weak gamma-ray bursts are relatively rare, indicating that
either their number density is reduced at large distances or that the space in
which they are distributed is non-Euclidean. In other words, we appear to be at
the center of a spherical and bounded distribution of bursters. This is
consistent with the distribution of all objects that are known to be at
cosmological distances (like galaxies and quasars), but inconsistent with the
distribution of any objects which are known to be in our galaxy (like stars and
globular clusters). If the bursters are at cosmological distances then the
weakest bursts should be redshifted, i.e. on average their durations should be
longer and their spectra should be softer than the corresponding quantities for
the strong bursts. There is some evidence for both effects in the BATSE data.
  At this time the cosmological distance scale is strongly favored over the
galactic one, but is not proven. A definite proof (or dis-proof) could be
provided with the results of a search for very weak bursts in the Andromeda
galaxy (M31) with an instrument $ \sim 10 $ times more sensitive than BATSE.
  If the bursters are indeed at cosmological distances then they are the most
luminous sources of electromagnetic radiation known in the universe. At this
time we have no clue as to their nature, even though well over a hundred
suggestions were published in the scientific journals. An experiment providing
","Bohdan Paczynski","Princeton University Observatory","http://arxiv.org/abs/astro-ph/9505096v1","http://arxiv.org/pdf/astro-ph/9505096v1","http://dx.doi.org/10.1086/133674","gziped, uuencoded PostScript with figures, presented at the 75th
  Anniversary Astronomical Debate ""The Distance Scale to Gamma Ray Bursts"", to
  appear in PASP; also available through WWW at
  http://www.astro.princeton.edu/~library/prep.html;","","10.1086/133674","astro-ph","astro-ph"
"6","astro-ph/9511077v2","1995-11-16 21:54:36","1995-11-22 19:07:44","Long and Short GRB","  We report evidence from the 3B Catalogue that short (T_90 < 10 s) and long
(T_90 > 10 s) GRB represent different populations and processes: Their spectral
behavior is qualitatively different, with short bursts harder in the BATSE
range, but chiefly long bursts detected at higher photon energies; \langle
V/V_max \rangle = 0.385 \pm 0.019 for short GRB but \langle V/V_max \rangle =
0.282 \pm 0.014 for long GRB, differing by 0.103 \pm 0.024. Long GRB may be the
consequence of accretion-induced collapse, but this mechanism fails for short
GRB, for which we suggest colliding neutron stars.
","J. I. Katz|L. M. Canel","","http://arxiv.org/abs/astro-ph/9511077v2","http://arxiv.org/pdf/astro-ph/9511077v2","http://dx.doi.org/10.1063/1.51653","5 pp., latex, no figures, revised to work around bug in latex
  compiler","","10.1063/1.51653","astro-ph","astro-ph"
"7","astro-ph/9701111v1","1997-01-16 21:41:34","1997-01-16 21:41:34","Inferring the Spatial and Energy Distribution of Gamma Ray Burst
  Sources. II. Isotropic Models","  We use Bayesian methods to analyze the distribution of gamma ray burst
intensities reported in the Third BATSE Catalog (3B catalog) of gamma ray
bursts, presuming the distribution of burst sources (``bursters'') is
isotropic. We study both phenomenological and cosmological source distribution
models, using Bayes's theorem both to infer unknown parameters in the models,
and to compare rival models. We analyze the distribution of the time-averaged
peak photon number flux, F, measured on both 64 ms and 1024 ms time scales,
performing the analysis of data based on each time scale independently. Several
of our findings differ from those of previous analyses that modeled burst
detection less completely. In particular, we find that the width of the
intrinsic luminosity function for bursters is unconstrained, and the luminosity
function of the actually observed bursts can be extremely broad, in contrast to
the findings of all previous studies. Useful constraints probably require
observation of bursts significantly fainter than those visible to BATSE. We
also find that the 3B peak flux data do not usefully constrain the redshifts of
burst sources; useful constraints require the analysis of data beyond that in
the 3B catalog (such as burst time histories), or data from brighter bursts
than have been seen by BATSE (such as those observed by the Pioneer Venus
Orbiter). In addition, we find that an accurate understanding of the peak flux
distributions reported in the 3B almost certainly requires consideration of
data on the temporal and spectral properties of bursts beyond that reported in
the 3B catalog, and more sophisticated modeling than has so far been attempted.
","Thomas J. Loredo|Ira M. Wasserman","Cornell University|Cornell University","http://arxiv.org/abs/astro-ph/9701111v1","http://arxiv.org/pdf/astro-ph/9701111v1","http://dx.doi.org/10.1086/305870","66 pages, 33 figures; submitted to The Astrophysical Journal, 12/96","","10.1086/305870","astro-ph","astro-ph"
"8","astro-ph/9701171v1","1997-01-22 16:29:03","1997-01-22 16:29:03","Average properties of the time behaviour of gamma-ray bursts","  The average peak-aligned profile of all bursts detected by BATSE with
sufficient data quality has a simple ``stretched'' exponential shape, F ~
exp[-(t/t_0)^{1/3}], where $t$ is the time measured from the time for the peak
flux of the event, and $t_0$ is a time constant. We study the behaviour of
$t_0$ of both the post-peak and the pre-peak slopes of the average time profile
as a function of the peak brightness range of the burst sample. We found that
the post-peak slope shows time dilation when comparing bright and dim bursts,
while the pre-peak slope hardly changes. Thus dimmer bursts have a different
shape -- they are more asymmetric. This shape-brightness correlation is
observed at a 99.6% confidence level. Such a correlation has a natural
explanation within the pulse avalanche model, which is briefly described.
Complex events, consisting of many pulses are more symmetric and are
intrinsically brighter. Bursts consisting of one or a few pulses are
intrinsically weaker and more asymmetric. For such a correlation to be
observable requires that the luminosity distance distribution of GRBs to be
different from a power-law.
","Boris Stern|Roland Svensson|Juri Poutanen","","http://arxiv.org/abs/astro-ph/9701171v1","http://arxiv.org/pdf/astro-ph/9701171v1","","5 pages; esa_sp_latex style; 3 postscript figure; Comments to
  stern@al20.inr.troitsk.ru; to appear in the proceeding of the 2nd INTEGRAL
  Workshop; St.Malo, France, September 1996","","","astro-ph","astro-ph"
"9","astro-ph/9704082v1","1997-04-10 13:18:49","1997-04-10 13:18:49","Pair Production Absorption Troughs in Gamma-Ray Burst Spectra: A
  Potential Distance Discriminator","  Relativistic bulk motion with large Lorentz factors has recently been
inferred for gamma-ray bursts regardless of whether they are of galactic or
cosmological origin. This conclusion results from calculations of internal pair
production transparency in bursts that usually assume an infinite power-law
source spectrum for simplicity, an approximation that is quite adequate for
some bursts detected by EGRET. However, for a given bulk Lorentz factor
\teq{\Gamma}, photons above the EGRET range can potentially interact with
sub-MeV photons in such calculations. Hence it is essential to accurately
address the spectral curvature in bursts seen by BATSE. In this paper we
present the major properties induced in photon-photon opacity considerations by
such spectral curvature. The observed spectral breaks around 1 MeV turn out to
be irrelevant to opacity in cosmological bursts, but are crucial to estimates
of source transparency in the 1 GeV -- 1 TeV range for sources located in the
galactic halo. We find that broad absorption troughs can arise at these
energies for suitable bulk motion parameters \teq{\Gamma}. Such troughs are
probably an unambiguous signature of a galactic halo population, and if
observed by experiments such as Whipple, MILAGRO and GLAST, would provide
powerful evidence that such bursts are not at cosmological distances.
","Matthew G. Baring|Alice K. Harding","","http://arxiv.org/abs/astro-ph/9704082v1","http://arxiv.org/pdf/astro-ph/9704082v1","http://dx.doi.org/10.1086/310665","10 pages, AASTeX format, including 2 eps figures, ApJLett in press","","10.1086/310665","astro-ph","astro-ph"
"10","astro-ph/9705171v3","1997-05-21 18:42:56","1998-07-29 15:58:17","A Search for Non-triggered Gamma Ray Bursts in the BATSE Data Base","  We describe a search of archival data from the Burst and Transient Source
Experiment (BATSE). The purpose of the search is to find astronomically
interesting transients that did not activate the burst detection (or
``trigger'') system onboard the spacecraft. Our search is sensitive to events
with peak fluxes (on the 1.024 s time scale) that are lower by a factor of 2
than can be detected with the onboard burst trigger. In a search of 345 days of
archival data, we detected 91 events in the 50--300 keV range that resemble
classical gamma ray bursts but that did not activate the onboard burst trigger.
We also detected 110 low-energy (25--50 keV) events of unknown origins which
may include activity from SGR 1806-20 and bursts and flares from X-ray
binaries. This paper gives the occurrence times, estimated source directions,
durations, peak fluxes, and fluences for the 91 gamma ray burst candidates. The
direction and intensity distributions of these bursts imply that the biases
inherent in the onboard trigger mechanism have not significantly affected the
completeness of the published BATSE gamma ray burst catalogs.
","J. M. Kommers|W. H. G. Lewin|C. Kouveliotou|J. van Paradijs|G. N. Pendleton|C. A. Meegan|G. J. Fishman","MIT|MIT|USRA|U. Alabama in Huntsville|U. Alabama in Huntsville|NASA/MSFC|NASA/MSFC","http://arxiv.org/abs/astro-ph/9705171v3","http://arxiv.org/pdf/astro-ph/9705171v3","http://dx.doi.org/10.1086/304992","Fixed incorrect values of <V/Vmax> and added erratum section","Astrophys.J. 491 (1997) 704-719","10.1086/304992","astro-ph","astro-ph"
"11","hep-ph/9712265v3","1997-12-04 14:59:08","1998-01-22 19:30:34","On velocities beyond the speed of light c","  From a mathematical point of view velocities can be larger than c. It has
been shown that Lorentz transformations are easily extended in Minkowski space
to address velocities beyond the speed of light. Energy and momentum
conservation fixes the relation between masses and velocities larger than c,
leading to the possible observation of negative mass squared particles from a
standard reference frame. Current data on neutrinos' mass square yeld negative
values, making neutrinos as possible candidates for having speed larger than c.
In this paper, an original analysis of the SN1987A supernova data is proposed.
It is shown that all the data measured in '87 by all the experiments are
consistent with the quantistic description of neutrinos as combination of
superluminal mass eigenstates. The well known enigma on the arrival times of
the neutrino bursts detected at LSD, several hours earlier than at IMB, K2 and
Baksan, is explained naturally. It is concluded that experimental evidence for
superluminal neutrinos was recorded since the SN1987A explosion, and that data
are quantitatively consistent with the introduction of tachyons in Einstein's
equation.
","S. Giani","CERN-CH","http://arxiv.org/abs/hep-ph/9712265v3","http://arxiv.org/pdf/hep-ph/9712265v3","","11 pages, Latex","","","hep-ph","hep-ph"
"12","astro-ph/9712266v1","1997-12-18 23:12:43","1997-12-18 23:12:43","X-ray Spectral Properties of Gamma-Ray Bursts","  We summarize the spectral characteristics of a sample of 22 bright gamma-ray
bursts detected with the gamma-ray burst sensors aboard the satellite Ginga.
This instrument employed a proportional and scintillation counter to provide
sensitivity to photons in the 2 - 400 keV range, providing a unique opportunity
to characterize the largely unexplored X-ray properties of gamma-ray bursts.
The photon spectra of the Ginga bursts are well described by a low energy
slope, a bend energy, and a high energy slope. In the energy range where they
can be compared, this result is consistent with burst spectral analyses
obtained from the BATSE experiment aboard the Compton Observatory. However,
below 20 keV we find evidence for a positive spectral number index in
approximately 40% of our burst sample, with some evidence for a strong rolloff
at lower energies in a few events. There is a correlation (Pearson's r = -0.62)
between the low energy slope and the bend energy. We find that the distribution
of spectral bend energies extends below 10 keV. The observed ratio of energy
emitted in the X-rays relative to the gamma-rays can be much larger than a few
percent and, in fact, is sometimes larger than unity. The average for our
sample is 24%.
","T. E. Strohmayer|E. E. Fenimore|T. Murakami|A. Yoshida","","http://arxiv.org/abs/astro-ph/9712266v1","http://arxiv.org/pdf/astro-ph/9712266v1","","5 pages, 1 figure, Latex, to appear in Gamma-Ray Bursts, 4-th
  Huntsville Symposium, eds Meegan, Preece, Koshut","","","astro-ph","astro-ph"
